Numero de Ordem;Numero de Clausulas;Numero de exemplos Alvo no cubo;Numero de exemplos no cubo;Cobertura da Regra;Confianca da Regra;Lift da Regra;Significancia Estatistica da Regra;Clausula 1;Clausula 2;Clausula 3;Clausula 4
4;3;65.0;2339.0;0.0517351971865254;0.027789653698161606;0.23754925947203334;5.226254060903054e-56;month = may;contact = unknown ;age = (37.5, 58.5] ;day = (4.5, 16.5]
4;2;105.0;3931.0;0.0869478666696158;0.026710760620707198;0.2283267533414243;4.505840690654361e-96;month = may;contact = unknown ;age = (37.5, 58.5];
4;2;375.0;4082.0;0.09028776182787375;0.09186673199412053;0.7852877330660206;2.7146610906390255e-07;month = may;contact = cellular ;day = (4.5, 16.5];
4;2;116.0;2927.0;0.06474088164384774;0.039631021523744446;0.3387706776536226;1.021018941303444e-49;month = jun;contact = unknown ;age = (37.5, 58.5];
4;2;215.0;3452.0;0.0763530999093141;0.06228273464658169;0.5324002110241265;2.326180645347668e-27;month = jul;previous = (-inf,0.5] ;age = (37.5, 58.5];
4;2;208.0;3109.0;0.06876645064254275;0.06690254100997105;0.571890864360333;1.0416305651309308e-20;month = aug;previous = (-inf,0.5] ;age = (37.5, 58.5];
4;1;261.0;7975.0;0.1763951250801796;0.03272727272727273;0.2797566132109524;7.811873651645952e-163;month = may;contact = unknown;;
4;1;206.0;4532.0;0.10024109176970207;0.045454545454545456;0.38855085168187836;1.3079726043547013e-63;month = jun;contact = unknown;;
4;1;491.0;6641.0;0.1468890314304041;0.07393464839632585;0.6320021532702379;4.740641599617414e-31;month = jul;previous = (-inf,0.5];;
4;1;454.0;5716.0;0.12642940877220146;0.0794261721483555;0.6789443503496503;1.649874849893449e-20;month = aug;previous = (-inf,0.5];;
4;1;150.0;2270.0;0.050209019928778395;0.06607929515418502;0.5648536610353297;5.383786212022348e-16;month = nov;day = (18.5, 21.5];;
4;0;925.0;13766.0;0.3044834221760191;0.06719453726572715;0.574386883025296;3.821179177037741e-85;month = may;;;
4;0;627.0;6895.0;0.15250713321979165;0.09093546047860769;0.7773271135750297;3.915796329708519e-12;month = jul;;;
4;0;441.0;2649.0;0.058591935590896024;0.1664779161947905;1.4230729947216247;5.37086393109274e-14;month = feb;;;
4;0;577.0;2932.0;0.06485147419875693;0.19679399727148705;1.6822184554057857;2.3766090384914304e-35;month = apr;;;
5;3;129.0;3647.0;0.08066620955077304;0.035371538250616945;0.3023601088766577;1.0354373499433192e-69;contact = unknown;age = (37.5, 58.5] ;day = (4.5, 16.5] ;previous = (-inf,0.5]
5;3;246.0;2885.0;0.06381190418261043;0.08526863084922011;0.7288863810406675;3.568335292678181e-08;contact = cellular;age = (37.5, 58.5] ;previous = (-inf,0.5] ;day = (21.5,inf]
5;2;132.0;3655.0;0.08084315763862777;0.036114911080711354;0.30871454809416543;1.7259883546618808e-68;contact = unknown;age = (37.5, 58.5] ;day = (4.5, 16.5];
5;2;523.0;3274.0;0.07241600495454646;0.15974343310934636;1.3655058336749213;3.398384822524669e-13;contact = cellular;age = (31.5, 37.5] ;day = (4.5, 16.5];
5;1;253.0;7082.0;0.15664329477339586;0.03572437164642756;0.30537617063842626;1.4608294550936773e-132;contact = unknown;age = (37.5, 58.5];;
5;1;126.0;3075.0;0.06801442126916016;0.04097560975609756;0.3502643775161518;4.358265490126967e-50;contact = unknown;age = (31.5, 37.5];;
5;1;807.0;3507.0;0.07756961801331534;0.23011120615911035;1.9670179129626655;2.195010105269287e-78;contact = cellular;age = (-inf,29.5];;
5;0;530.0;13020.0;0.28798301298356593;0.040706605222734255;0.34796489482417065;1.7786985441216423e-208;contact = unknown;;;
5;0;4369.0;29285.0;0.647740594103205;0.14918900460986853;1.2752853256601941;2.082544356204091e-61;contact = cellular;;;
6;3;240.0;4565.0;0.1009710026321028;0.05257393209200438;0.44940821399349784;1.0996697323871612e-50;age = (37.5, 58.5];previous = (-inf,0.5] ;day = (4.5, 16.5] ;housing = yes
6;2;564.0;8000.0;0.17694808785472563;0.0705;0.6026423709585933;1.7112994798925407e-43;age = (37.5, 58.5];previous = (-inf,0.5] ;day = (4.5, 16.5];
6;2;173.0;2846.0;0.06294928225431864;0.06078706957132818;0.5196150883700734;4.4431697947941535e-24;age = (37.5, 58.5];previous = (-inf,0.5] ;day = (18.5, 21.5];
6;2;323.0;4683.0;0.10358098692796001;0.06897288063207346;0.5895883732759829;7.776833542093236e-28;age = (37.5, 58.5];previous = (-inf,0.5] ;day = (21.5,inf];
6;2;176.0;2395.0;0.05297383380150848;0.07348643006263048;0.6281707297337089;2.2809538072377105e-12;age = (31.5, 37.5];previous = (-inf,0.5] ;day = (21.5,inf];
6;1;1327.0;18587.0;0.41111676361947314;0.07139398504330983;0.610284261257909;9.410880121090303e-95;age = (37.5, 58.5];previous = (-inf,0.5];;
6;1;756.0;9083.0;0.2009024352480591;0.0832324121986128;0.7114805422407796;1.2179215597440952e-25;age = (31.5, 37.5];previous = (-inf,0.5];;
6;1;280.0;3082.0;0.06816925084603305;0.09085009733939;0.7765974193252339;3.6661789125498585e-06;age = (29.5, 31.5];previous = (-inf,0.5];;
6;0;2047.0;22248.0;0.492092632323992;0.09200827040632865;0.7864976202194224;4.781237853433682e-33;age = (37.5, 58.5];;;
6;0;928.0;5273.0;0.11663090840724602;0.1759908970225678;1.5043910843802821;5.0627587155597576e-36;age = (-inf,29.5];;;
6;0;688.0;2554.0;0.05649067704762115;0.26938136256851997;2.3027038727709126;7.38025265199602e-98;age = (58.5,inf];;;
7;3;252.0;3573.0;0.07902943973811682;0.07052896725440806;0.6028899864887584;2.93288750954101e-20;previous = (-inf,0.5];housing = yes ;day = (4.5, 16.5] ;campaign = (-inf,1.5]
7;3;230.0;3612.0;0.07989206166640862;0.0636766334440753;0.5443154234524652;4.645503692779422e-27;previous = (-inf,0.5];housing = yes ;day = (4.5, 16.5] ;campaign = (1.5, 3.5]
7;2;563.0;8768.0;0.19393510428877928;0.06421076642335767;0.5488812555807192;5.16591370287279e-62;previous = (-inf,0.5];housing = yes ;day = (4.5, 16.5];
7;2;166.0;2968.0;0.06564774059410321;0.05592991913746631;0.4780955897379447;8.902305909635551e-30;previous = (-inf,0.5];housing = yes ;day = (18.5, 21.5];
7;2;292.0;4860.0;0.10749596337174581;0.060082304526748974;0.5135906730873223;4.131567292941677e-41;previous = (-inf,0.5];housing = yes ;day = (21.5,inf];
7;2;226.0;2600.0;0.05750812855278583;0.08692307692307692;0.7430287825239612;8.650006211491963e-07;previous = (-inf,0.5];housing = no ;day = (18.5, 21.5];
7;1;1284.0;19988.0;0.44210479750503195;0.06423854312587553;0.5491186941319641;5.153829546397558e-139;previous = (-inf,0.5];housing = yes;;
7;0;3384.0;36954.0;0.8173674548229414;0.09157330735509012;0.7827795044112269;1.1587437965559545e-55;previous = (-inf,0.5];;;
7;0;866.0;3379.0;0.07473844860763973;0.2562888428529151;2.1907874596753913;7.674696653495574e-110;previous = (2.5,inf];;;
7;0;1039.0;4878.0;0.10789409656941895;0.21299712997129971;1.8207247576351733;1.2326738721755403e-80;previous = (0.5, 2.5];;;
8;3;190.0;2559.0;0.056601269602530355;0.07424775302852676;0.6346786088433964;1.273350705909199e-12;housing = yes;day = (4.5, 16.5] ;campaign = (1.5, 3.5] ;education = secondary
8;2;421.0;4760.0;0.10528411227356174;0.08844537815126051;0.7560415941759574;2.2324253739830815e-10;housing = yes;day = (4.5, 16.5] ;campaign = (-inf,1.5];
8;2;360.0;4628.0;0.10236446882395878;0.07778738115816768;0.6649357703803969;2.401321719673626e-18;housing = yes;day = (4.5, 16.5] ;campaign = (1.5, 3.5];
8;1;894.0;11393.0;0.25199619561611114;0.07846923549547968;0.6707643422170793;1.8433807918419035e-41;housing = yes;day = (4.5, 16.5];;
8;1;215.0;3641.0;0.080533498484882;0.05904971161768745;0.5047639462936788;1.9570127929920316e-32;housing = yes;day = (18.5, 21.5];;
8;1;419.0;5421.0;0.11990444803255845;0.0772920125438111;0.660701300646293;8.188152015058903e-22;housing = yes;day = (21.5,inf];;
8;1;190.0;2598.0;0.057463891530822146;0.0731331793687452;0.6251511008584494;1.5937591484591788e-13;housing = yes;day = (16.5, 18.5];;
8;1;1466.0;7826.0;0.17309946694388534;0.18732430360337338;1.6012703895277205;1.6409525817569165e-72;housing = no;day = (4.5, 16.5];;
